full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,lat,long,zip_code,Actual,Predicted
1233 JUANITA ST MESQUITE TX 75149,3,1.5,1961,1026,8102,216616,32.7853139,-96.6205811,75149,216616,210337
215 KIMBELL ST MESQUITE TX 75149,3,1.0,1938,824,6399,175943,32.76796,-96.5967371,75149,175943,175067
1504 LAREDO LN MESQUITE TX 75150,3,2.0,1983,1456,7283,272969,32.7992905,-96.6185361,75150,272969,257004
4613 WINDSOR DR GARLAND TX 75042,3,2.0,1963,1168,7200,272969,32.9209352,-96.7028095,75042,272969,257004
2804 EL PASO WAY  MESQUITE TX 75150,3,2.5,1984,2485,8673,396571,32.8010839,-96.6219948,75150,396571,354415
2201 ANITA DR MESQUITE TX 75149,3,1.0,1960,1368,7623,171373,32.7910496,-96.6299721,75149,171373,226830
208 E GRUBB DR MESQUITE TX 75149,3,2.0,1973,1335,7623,257275,32.7750158,-96.5966632,75149,257275,245742
216 MONTEGO DR MESQUITE TX 75149,2,2.0,1973,1504,3241,168699,32.7800458,-96.5947942,75149,168699,253961
3229 FOUNTAIN DR MESQUITE TX 75181,4,2.0,2000,2636,23731,299475,32.7532902,-96.5486918,75181,299475,374107
1001 GOLDENROD DR GARLAND TX 75043,3,2.0,1978,1852,8777,299475,32.8572409,-96.5911313,75043,299475,374107
4621 MEADOWVIEW DR MESQUITE TX 75150,3,2.0,1984,1705,7671,306790,32.8284151,-96.6141752,75150,306790,288275
1018 CASA DR MESQUITE TX 75149,3,1.0,1958,1220,7196,214288,32.7553593,-96.5858997,75149,214288,215360
2124 BUFFALO HILL DR MESQUITE TX 75149,3,2.0,2022,1292,3119,304921,32.7643387,-96.6241913,75149,304921,274928
7610 PROVIDENCE DR ROWLETT TX 75089,3,2.0,2004,2290,8002,420942,32.9197813,-96.5291224,75089,420942,399699
3319 FALLBROOK DR SUNNYVALE TX 75182,4,2.5,2001,2389,7109,420942,32.8103139,-96.6013234,75182,420942,399699
6710 PROVIDENCE DR ROWLETT TX 75089,4,2.5,2005,2978,8046,439460,32.9201469,-96.5279972,75089,439460,461495
426 DOLLINS ST CEDAR HILL TX 75104,2,2.0,1984,1054,3794,189198,32.5805152,-96.9389025,75104,189198,222866
6710 AMESBURY LN ROWLETT TX 75089,3,2.5,2003,2184,7614,402385,32.9208289,-96.5233297,75089,402385,394593
7510 PROVIDENCE DR ROWLETT TX 75089,4,2.5,2005,3013,8002,483420,32.9197564,-96.5300184,75089,483420,464444
7813 AMESBURY LN ROWLETT TX 75089,5,2.0,2003,3464,8002,482615,32.9216971,-96.5264344,75089,482615,347690
2707 SHARPVIEW LN DALLAS TX 75228,3,2.5,1963,2043,10406,482615,32.7962932,-96.7046064,75228,482615,347690
7610 KALLAN DR ROWLETT TX 75089,3,2.0,2005,2063,8303,380780,32.9204892,-96.5289974,75089,380780,381568
7206 WATERBURY DR ROWLETT TX 75089,4,3.5,2008,3360,10123,506968,32.9216125,-96.5330174,75089,506968,518397
6706 AMESBURY LN ROWLETT TX 75089,3,2.5,2003,2685,7423,465551,32.9206429,-96.5232698,75089,465551,436807
6705 ESSEX DR ROWLETT TX 75089,2,2.5,2003,2652,7771,417945,32.9198826,-96.5276013,75089,417945,436017
6801 AMESBURY LN ROWLETT TX 75089,5,4.0,2004,3349,8067,489612,32.9210484,-96.5241633,75089,489612,518482
7909 MARQUETT DR ROWLETT TX 75089,5,3.0,2002,3322,8002,439861,32.9209428,-96.5257677,75089,439861,492672
7306 COLFAX DR ROWLETT TX 75089,4,2.5,2005,2502,7414,408054,32.9233853,-96.5236867,75089,408054,421388
6814 AMESBURY LN ROWLETT TX 75089,4,2.0,2004,1903,7919,365452,32.9215676,-96.5240674,75089,365452,368756
5006 WORDSWORTH DR GARLAND TX 75043,3,2.5,1996,2141,10163,365452,32.856666,-96.5687676,75043,365452,368756
6805 ESSEX DR ROWLETT TX 75089,4,2.0,2003,2227,8028,389768,32.9206717,-96.5276013,75089,389768,391405
7801 WESTOVER DR ROWLETT TX 75089,3,2.0,2005,2018,7510,411882,32.9224261,-96.5271637,75089,411882,377777
6413 FAIRFIELD DR ROWLETT TX 75089,3,2.0,2002,2284,8120,408379,32.9233989,-96.5261636,75089,408379,397203
7013 HANDEN DR ROWLETT TX 75089,4,3.5,2010,3392,8024,495376,32.9222353,-96.531261,75089,495376,526036
7409 HANDEN DR ROWLETT TX 75089,5,3.5,2009,3407,8002,543372,32.9234214,-96.5306567,75089,543372,524326
6902 WESTOVER DR ROWLETT TX 75089,4,2.5,2002,2696,8433,478631,32.9221222,-96.5235231,75089,478631,434747
6702 WESTOVER DR ROWLETT TX 75089,3,2.0,2002,2406,7985,385387,32.9207703,-96.5223506,75089,385387,407482
7318 EAGLE BEND CT DALLAS TX 75249,4,2.5,2010,2528,12101,385387,32.6481372,-96.9516753,75249,385387,407482
6709 WESTOVER DR ROWLETT TX 75089,3,2.0,2004,1942,8006,379079,32.9210504,-96.5230269,75089,379079,370377
7802 MARQUETT DR ROWLETT TX 75089,4,2.0,2002,2355,8250,409067,32.9205225,-96.5271012,75089,409067,401195
7606 WESTOVER DR ROWLETT TX 75089,3,2.5,2005,2289,7719,411209,32.922018,-96.5286848,75089,411209,405432
8006 WESTOVER DR ROWLETT TX 75089,3,2.0,2003,2228,8002,406041,32.9220384,-96.5249342,75089,406041,393480
7809 WILMINGTON DR ROWLETT TX 75089,4,2.5,2002,2821,8002,442780,32.9201727,-96.5266636,75089,442780,445280
7006 STATFORD DR ROWLETT TX 75089,4,2.5,2006,2283,7214,414464,32.9230196,-96.5346863,75089,414464,293909
104 OSCAR DR DALLAS TX 75203,2,2.5,2021,1336,1620,414464,32.7508622,-96.8221522,75203,414464,293909
7010 WESTOVER DR ROWLETT TX 75089,4,3.5,2003,3026,10964,495804,32.9224624,-96.5247884,75089,495804,473495
6802 WESTOVER DR ROWLETT TX 75089,4,2.0,2002,2271,8621,399492,32.9215377,-96.5227673,75089,399492,394117
8822 TUDOR PL DALLAS TX 75228,3,2.5,2007,1832,1943,399492,32.8135895,-96.6976802,75228,399492,394117
7702 PROVIDENCE DR ROWLETT TX 75089,4,2.5,2005,3003,8006,459384,32.9198052,-96.528664,75089,459384,463602
6713 ESSEX DR ROWLETT TX 75089,4,2.0,2002,1857,8028,365317,32.9202542,-96.5276221,75089,365317,359234
7913 MARQUETT DR ROWLETT TX 75089,5,2.5,2002,2687,7200,435277,32.9209558,-96.5255176,75089,435277,431999
8010 WESTOVER DR ROWLETT TX 75089,4,2.0,2003,2966,8625,416792,32.9220284,-96.524705,75089,416792,453672
8009 WILMINGTON DR ROWLETT TX 75089,4,2.0,2003,2227,8107,420920,32.920212,-96.524814,75089,420920,391405
7909 WILMINGTON DR ROWLETT TX 75089,3,2.0,2002,2032,7200,383060,32.9201807,-96.525737,75089,383060,375970
6417 FAIRFIELD DR ROWLETT TX 75089,4,3.5,2003,3124,8995,483456,32.9235217,-96.5263303,75089,483456,482290
7102 RIDGEVIEW DR ROWLETT TX 75089,3,2.5,1978,1781,6551,330611,32.9136456,-96.5341236,75089,330611,288114
2008 REAGAN BLVD CARROLLTON TX 75006,3,2.0,1966,1339,7022,330611,32.9503897,-96.8857662,75006,330611,288114
7118 HARVEST HILL DR ROWLETT TX 75089,3,2.5,1978,1823,6865,347378,32.9144066,-96.5335125,75089,347378,339288
6910 ALISSA DR ROWLETT TX 75089,3,2.0,1995,1302,6199,299840,32.915198,-96.5354573,75089,299840,307493
6305 SHORECREST DR ROWLETT TX 75089,3,2.0,1995,1453,8581,332332,32.9167852,-96.5361242,75089,332332,320215
8101 FREEMAN DR ROWLETT TX 75089,4,2.5,2000,3083,10846,482428,32.9181703,-96.5238716,75089,482428,465364
6506 MARQUETT CT ROWLETT TX 75089,4,2.5,2000,2570,10598,451825,32.9186196,-96.5236632,75089,451825,422139
1522 HALSEY DR DUNCANVILLE TX 75137,3,2.0,2011,2448,10123,451825,32.631258,-96.8849017,75137,451825,422139
413 CONGER DR MESQUITE TX 75149,4,2.0,1983,1551,6360,297827,32.7777643,-96.5920398,75149,297827,270517
3616 STRAYHORN DR MESQUITE TX 75150,3,2.0,1956,1218,7623,249673,32.8343662,-96.6537663,75150,249673,234449
2519 WANDA DR MESQUITE TX 75149,3,1.0,1962,960,7558,222729,32.7855725,-96.6349895,75149,222729,200137
2809 CIELO CT MESQUITE TX 75181,4,2.5,2000,2883,12711,423113,32.7407639,-96.5686425,75181,423113,402895
2008 SAN SIMEON DR MESQUITE TX 75181,4,3.0,2000,2549,9980,375848,32.7438134,-96.5720412,75181,375848,380407
4429 OLEANDER TRL MESQUITE TX 75150,3,2.0,1959,1225,9217,243093,32.8231881,-96.64279,75150,243093,236840
846 BIG THICKET TRL MESQUITE TX 75149,5,3.0,1996,3180,10106,466641,32.7775749,-96.5839303,75149,466641,405299
3606 BEECH ST ROWLETT TX 75089,3,2.5,1997,2382,17908,466641,32.9187286,-96.5676417,75089,466641,405299
6009 TETON DR MESQUITE TX 75150,3,2.0,1982,1574,7318,292137,32.8432556,-96.623691,75150,292137,277249
3642 PALM DR MESQUITE TX 75150,3,1.0,1961,960,7802,191034,32.7986812,-96.6515196,75150,191034,202480
814 LILAC LN MESQUITE TX 75149,2,1.0,1957,775,8607,191506,32.759319,-96.6247978,75149,191506,180769
1804 SANDCASTLE TRL MESQUITE TX 75149,3,2.0,1986,1243,7148,285876,32.7582608,-96.5741055,75149,285876,247953
4816 MONARCH DR MESQUITE TX 75181,3,2.5,2004,2858,8616,427410,32.7187754,-96.5385208,75181,427410,411840
3920 EMERALD DR MESQUITE TX 75150,4,2.0,1962,1480,7196,249119,32.8015539,-96.6562679,75150,249119,264321
2853 INGRAM CIR MESQUITE TX 75181,4,2.5,2006,2349,7231,350453,32.7257795,-96.5914152,75181,350453,362512
2321 NORTHVIEW DR MESQUITE TX 75150,4,2.0,1969,1813,7606,312776,32.800807,-96.6356539,75150,312776,293547
2321 NORTHVIEW DR MESQUITE TX 75150,4,2.0,1969,1813,7606,312776,32.800807,-96.6356539,75150,312776,337968
