full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,lat,long,zip_code
4005 VIA PLATA  MESQUITE TX 75150,4,2.0,1977,1756,9439,283305,32.8201058,-96.6120052,75150
914 VIA SONOMA  MESQUITE TX 75150,4,2.5,1978,2192,8259,336723,32.8198791,-96.6100648,75150
3030 CLAY MATHIS RD MESQUITE TX 75181,4,3.0,2006,4008,35414,424890,32.7308205,-96.5416886,75181
442 CARVER ST MESQUITE TX 75149,2,1.0,1951,720,7000,172751,32.7626313,-96.5953783,75149
513 HOLLEY ST MESQUITE TX 75149,2,1.0,1962,973,7645,192340,32.7616787,-96.5925812,75149
1814 ROSEMONT ST MESQUITE TX 75149,2,1.0,1955,889,7501,189696,32.788796,-96.6101589,75149
1524 ROSEMONT ST MESQUITE TX 75149,3,1.0,1955,989,7501,203988,32.7859168,-96.6135153,75149
1323 BELMONT ST MESQUITE TX 75149,3,1.0,1956,1103,7501,197536,32.7833236,-96.6160066,75149
1435 ROSEMONT ST MESQUITE TX 75149,3,1.0,1955,1306,8747,220721,32.7852988,-96.614988,75149
913 GLENN CIR MESQUITE TX 75149,2,1.5,1970,960,7802,220720,32.7761606,-96.6043901,75149
1157 REDMAN AVE MESQUITE TX 75149,2,2.0,2006,1025,4800,182532,32.7820268,-96.6201139,75149
1910 ARAPAHO TRL MESQUITE TX 75149,3,2.0,1989,1813,12676,323361,32.7509493,-96.5695182,75149
4957 KINGFISHER LN MESQUITE TX 75181,4,2.5,2004,3342,8446,372816,32.7213164,-96.536541,75181
804 COOLWOOD LN MESQUITE TX 75149,3,2.0,1979,1422,7200,274961,32.7581802,-96.5773168,75149
504 HOLLEY ST MESQUITE TX 75149,3,1.0,1952,1255,7501,226842,32.7619242,-96.5929961,75149
1412 ANDREW ST MESQUITE TX 75149,2,1.0,1958,1302,7501,211490,32.7849878,-96.6160023,75149
1412 RICHARD ST MESQUITE TX 75149,3,1.0,1956,1220,7501,236990,32.7861462,-96.617363,75149
1300 MULBERRY LN MESQUITE TX 75149,3,2.0,1974,1451,10119,283066,32.7508802,-96.5862967,75149
1329 HIGHLAND ST MESQUITE TX 75149,3,1.0,1958,1336,7497,224799,32.7829289,-96.614988,75149
1720 ROSEMONT ST MESQUITE TX 75149,3,1.5,1956,1105,7497,215190,32.7878313,-96.611229,75149
1415 ROSEMONT ST MESQUITE TX 75149,3,1.0,1955,1116,7497,208309,32.784683,-96.6156862,75149
1311 SPRINGHAVEN DR MESQUITE TX 75181,3,2.0,1993,1834,7867,311163,32.7494738,-96.547193,75181
1620 ANDREW ST MESQUITE TX 75149,2,1.0,1955,1464,7501,264052,32.7873248,-96.6132375,75149
1618 RIDGEVIEW ST MESQUITE TX 75149,2,1.0,1956,1335,7501,225743,32.7878162,-96.61406,75149
1325 RIDGEVIEW ST MESQUITE TX 75149,3,1.0,1956,1224,7501,235739,32.7851971,-96.6178803,75149
2421 SPOONBILL CT MESQUITE TX 75181,4,2.5,2003,2838,5441,317160,32.7236238,-96.5352489,75181
1518 ANDREW ST MESQUITE TX 75149,4,2.0,1956,1843,7501,267422,32.7862561,-96.6144758,75149
1705 RIDGEVIEW ST MESQUITE TX 75149,3,2.0,1981,1320,8050,235990,32.7888886,-96.6135172,75149
937 CARVER ST MESQUITE TX 75149,2,2.0,1967,1476,15159,262566,32.7564541,-96.5959624,75149
1514 HILLWOOD DR MESQUITE TX 75149,3,2.0,1973,1658,7200,293845,32.7547183,-96.5780259,75149
1322 WISTERIA WAY  MESQUITE TX 75149,3,2.0,1982,1394,11526,289972,32.7499806,-96.5843943,75149
2323 LARCHMONT DR MESQUITE TX 75150,4,3.0,1969,2368,7623,285697,32.8016544,-96.6360666,75150
2304 NAROBI PL MESQUITE TX 75149,3,1.5,1962,1064,7279,214633,32.7388119,-96.6199551,75149
1837 GROVE CIR MESQUITE TX 75149,3,1.5,1958,957,5885,206961,32.7438353,-96.6196212,75149
525 OXBOW ST MESQUITE TX 75149,3,2.0,1985,1202,3855,246824,32.7620473,-96.5797725,75149
1409 SAVANNAH ST MESQUITE TX 75149,2,2.5,1990,2019,3737,276814,32.7644209,-96.5804813,75149
2413 LARCHMONT DR MESQUITE TX 75150,3,2.0,1966,1472,7606,314984,32.800212,-96.6377899,75150
2405 EASTBROOK DR MESQUITE TX 75150,3,2.0,1968,1598,8189,271947,32.8036025,-96.6365675,75150
2116 AVIS ST MESQUITE TX 75149,2,1.5,1960,972,7501,195441,32.7405218,-96.6150804,75149
4044 HEARTHSTONE DR MESQUITE TX 75150,2,2.0,1986,1143,3363,233547,32.8197424,-96.5962309,75150
923 DANDELION DR MESQUITE TX 75149,4,2.0,1998,2325,12785,365419,32.7742458,-96.5861384,75149
1213 OLD BARN LN MESQUITE TX 75149,3,2.0,1985,1315,4526,278841,32.7793502,-96.5712697,75149
1001 GARDEN TRL MESQUITE TX 75149,3,2.0,1985,1374,5976,283651,32.7769116,-96.5797947,75149
806 S BRYAN-BELT LINE RD MESQUITE TX 75149,2,2.0,1945,1075,16649,211223,32.7589479,-96.5969636,75149
1716 ROSEMONT ST MESQUITE TX 75149,2,1.5,1958,1136,7501,213098,32.7877298,-96.6114001,75149
1521 ROSEMONT ST MESQUITE TX 75149,3,2.0,1955,1054,7501,185828,32.7861499,-96.6139877,75149
1329 RIDGEVIEW ST MESQUITE TX 75149,2,1.0,1956,1004,7501,199546,32.7852981,-96.6177512,75149
1511 GREYWOOD DR MESQUITE TX 75149,3,2.0,1978,1454,7200,250172,32.7559598,-96.5782135,75149
608 COOLWOOD LN MESQUITE TX 75149,3,2.0,1979,1272,7200,245839,32.7599932,-96.5762325,75149
2500 BELHAVEN DR MESQUITE TX 75150,3,3.0,1988,2023,9361,325324,32.804517,-96.6375277,75150
2311 APOLLO WAY  MESQUITE TX 75150,3,2.0,1969,1634,7553,276391,32.8005961,-96.6345189,75150
2132 AVIS ST MESQUITE TX 75149,2,1.5,1961,1046,7501,178477,32.739907,-96.6147945,75149
2332 NORTHVIEW DR MESQUITE TX 75150,4,2.0,1969,1728,7606,246219,32.8001414,-96.6357391,75150
1216 RUSK DR MESQUITE TX 75149,3,1.0,1961,1778,7501,239545,32.7389788,-96.6160884,75149
1311 ATHENS DR MESQUITE TX 75149,4,2.0,1961,1628,8002,237725,32.7386629,-96.6170123,75149
